Ciudad,Mes,Nmero Extranjeros,Homicidios,Hurtos,Delitos Sexuales,Departamento,Temperatura,Dolar,Pib Ponderado,Entradas Extranjeros Zona,Distancia a accseos,importancia accesos,Establecimientos de turismo,N Habitaciones,N Camas,Distancia al TOP,Proxy Pobreza,Gasto Promedio Diario,Gasto Alojamiento Diario,Gasto Transporte Diario,Gasto alimetos Diario,Otros Gastos Diario,Gasto Promedio Viaje,Gasto  Alojamiento Viaje,Gasto Transporte Viaje,Gasto alimetos Viaje,Otros Gastos Viaje,Inflacion,Nmero Vias,Eventos,Area Urbana,Area Rural,Area Agua
laestrella,7-2023,112.0,0,24,1,antioquia,24.038470599805592,4089.3,210.36176622992065,62577.0,267.22673866385657,0.4335756784203497,14.730772662676664,59.915504925273126,93.29796648424991,0.6072401110614897,0.0029402720837224216,112938.80796742352,19329.21753929476,18718.932466939412,38108.899309635286,40948.28961517593,475891.8912491361,88276.95253595457,76942.18907799988,146334.9649435429,171395.8017376133,11.78492,6,6.0,1.1641541176470582,0.30854196078431384,0.0087027450980392
funza,7-2023,72.0,2,187,2,cundinamarca,24.03847059968656,4089.3,481.2922661073937,0.0,199.8571213143083,1.8796154628982686e-06,7.199999999999996,54.0,66.0,0.6034064328369512,0.005308116885303941,126152.01188109195,24280.828951374442,23686.28579566933,34140.35292425801,48751.12967159016,592896.5989108703,100367.64713822983,100879.30890339601,142696.5535092271,184601.22348320155,11.78492,6,0.0,7.61970392156863,1.7480439215686263,0.007000000000000006
riohacha,7-2023,388.0,6,107,9,laguajira,28.25,4089.3,369.8700000212438,4423.0,685.9785165733708,0.12272455094644008,71.8,536.1999999999971,1096.8,0.7888391892294312,0.002203377714361206,130618.882,22209.082,31415.664,31209.332,45784.804,632823.107,107598.687,152202.789,151203.152,221818.479,11.78492,2,0.0,5.961096078431375,2.977390980392158,0.0
tunja,7-2023,306.0,0,109,10,boyaca,24.038470599806754,4089.3,563.5991551189779,0.0,261.3999137910525,0.0,64.6,371.59999999999854,618.4,0.6185747664372847,0.0034388028550098107,123891.633,24164.023,19214.02,32385.373,48128.217,551807.16,107625.355,85578.289,144242.836,214360.68,11.78492,7,3.0,8.944563921568625,2.252408627450981,0.07740235294117648
duitama,7-2023,131.0,1,48,5,boyaca,24.038470599855295,4089.3,300.782735179151,0.0,293.0004259889355,0.0,36.3866084364907,244.97036441906675,446.56465813794887,0.6307515706016174,0.002374538053044533,121576.43717351218,19758.79707786273,19048.09732835834,29685.681283524773,44512.85408486662,545897.266329881,96724.21329166675,87883.49563675284,147050.05009493325,204994.4936359992,11.78492,5,3.0,4.377814117647059,1.103920784313726,0.048914509803921535
chia,7-2023,727.0,0,122,5,cundinamarca,24.038470599707065,4089.3,411.2447688384689,0.0,204.97287361536087,1.8796154628982686e-06,11.199999999999996,44.80000000000291,59.80000000000001,0.6035718059674151,0.003308246135343932,127454.89878155151,24364.3466407698,22877.995606880384,34248.636911150854,49960.52173642695,588036.617480624,100654.98985483986,96828.78165602995,143579.5702320602,188316.1599293095,11.78492,10,0.0,19.06296745098037,2.833659215686275,0.0325094117647059
aguachica,7-2023,15.0,1,38,3,cesar,24.038470600222443,4089.3,126.4565659334169,39.0,391.36283341081935,3.496084760990783e-05,9.289632166187694,149.1054754758443,223.20788758750382,0.6653829898210512,0.0011535797514474133,110480.9089632985,19593.2954682498,19269.453892118498,29685.681283524773,33483.5920227187,607649.6468308851,96724.21329166675,110176.85588241735,149501.76687021082,191815.04038260496,11.78492,13,0.0,5.741673725490196,1.622679607843137,0.014100000000000001
apartado,7-2023,45.0,9,25,5,antioquia,24.038470600065327,4089.3,354.28593248152396,62577.0,413.27632747611773,0.4335756784203497,9.370298856639259,98.30778524072957,136.4113878720392,0.6635101062419029,0.0029279103202525885,112600.9020887953,19593.2954682498,16934.596160824654,29685.681283524773,47387.387639406676,817921.2078228279,96724.21329166675,110024.56976273043,152937.82435924487,293747.2677367114,11.78492,4,6.0,2.564816078431372,0.7738329411764706,0.017184313725490175
tumaco,7-2023,65.0,6,38,4,narino,24.038470599533554,4089.3,226.45024547821052,9600.0,669.5025896692166,0.24078276854468894,22.76580307150703,339.71181681743474,611.6349098099469,0.7778734672984493,0.001064686238684156,110435.85589108197,19593.2954682498,15838.359862226325,29685.681283524773,50295.052775060394,566303.864375986,96724.21329166675,78931.17499320961,136429.35116029723,254623.77857656093,11.78492,1,0.0,2.0511243137254898,1.647827843137255,4.28511655607843
floridablanca,7-2023,334.0,3,164,9,santander,24.038470600065494,4089.3,586.5770384061148,733.0,343.9720474971588,0.002796867808792626,50.724590976166894,382.349551821193,341.61193579449514,0.6500400030438965,0.0019835286902859244,112908.27209110562,18945.17483514604,17833.7000716629,30626.001807147863,33307.42534693617,516885.5485931074,94940.17923589969,92489.85607230828,149641.4329826937,186980.98323280946,11.78492,8,2.0,5.448416862745098,0.795339607843137,0.005900000000000016
facatativa,7-2023,86.0,1,129,6,cundinamarca,24.03847059968718,4089.3,604.9591459301877,0.0,204.3759690628798,1.8796154628982686e-06,3.999999999999993,45.599999999998545,52.60000000000002,0.6017551041017196,0.004169831444238955,122937.21773471928,21461.52764948693,23558.48926360976,30761.937878666144,46301.89357665374,581595.1336443495,96724.21329166675,101310.8821424365,142190.78948717233,177674.27692188387,11.78492,2,0.0,3.1348447058823545,0.782046666666667,0.0013000000000000234
zipaquira,7-2023,199.0,1,75,6,cundinamarca,24.038470599726434,4089.3,280.1357968985089,0.0,211.74316893839944,1.8796154628982686e-06,27.278499686784873,131.42005946906283,236.67907908327646,0.6032728435906439,0.001426287985268032,125606.35974000745,21237.73871198714,22180.69150457724,30537.03980629344,48497.521021125205,571380.581402404,96724.21329166675,94364.8368889756,143951.75288535462,185843.18637095453,11.78492,21,0.0,2.82261725490196,0.6865341176470587,0.010000392156862825
